Ensembl Gene ID	GO Term Accession	GO Term Name	GO Term Definition	GO Term Evidence Code	GO domain	Description	shared name
ENSG00000107672	GO:0006310	DNA recombination	Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Intrachromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction. [ISBN:0198506732]	IEA	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0030915	Smc5-Smc6 complex	A conserved complex that contains a heterodimer of SMC proteins (Smc5p and Smc6p, or homologs thereof) and several other proteins, and is involved in DNA repair and maintaining cell cycle arrest following DNA damage. In S. cerevisiae, this is an octameric complex called Mms21-Smc5-Smc6 complex, with at least five of its subunits conserved in fission yeast and humans. [GOC:rb, PMID:14701739]	IDA	cellular_component	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0006281	DNA repair	The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway. [PMID:11563486]	IEA	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0000781	chromosome, telomeric region	The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins. [GOC:elh]	IEA	cellular_component	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0044267	cellular protein metabolic process	The chemical reactions and pathways involving a specific protein, rather than of proteins in general, occurring at the level of an individual cell. Includes cellular protein modification. [GOC:jl]	TAS	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0043687	post-translational protein modification	The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome. [GOC:jsg]	TAS	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:2001022	positive regulation of response to DNA damage stimulus	Any process that activates or increases the frequency, rate or extent of response to DNA damage stimulus. [GOC:obol]	IMP	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0016925	protein sumoylation	The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxyl terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein. [GOC:jl, PMID:11265250]	TAS	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000160948	GO:0005768	endosome	A membrane-bounded organelle to which materials ingested by endocytosis are delivered. [ISBN:0198506732, PMID:19696797]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0016197	endosomal transport	The directed movement of substances into, out of, or mediated by an endosome, a membrane-bounded organelle that carries materials newly ingested by endocytosis. It passes many of the materials to lysosomes for degradation. [ISBN:0198506732]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes. [GOC:hgd, GOC:jl]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005737	cytoplasm	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005769	early endosome	A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways. [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0070062	extracellular exosome	A membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm. [GOC:BHF, GOC:mah, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0043130	ubiquitin binding	Interacting selectively and non-covalently with ubiquitin, a protein that when covalently bound to other cellular proteins marks them for proteolytic degradation. [GOC:ecd]	IDA	molecular_function	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0045732	positive regulation of protein catabolic process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds. [GOC:go_curators]	IMP	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0031397	negative regulation of protein ubiquitination	Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of ubiquitin groups to a protein. [GOC:mah]	IDA	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0032403	protein complex binding	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:mah]	IBA	molecular_function	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0043328	protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	The process of directing proteins towards the vacuole using signals contained within the protein, occurring that contributes to protein catabolism via the multivesicular body (MVB) pathway. [GOC:jl, PMID:11511343]	IBA	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	The chemical reactions and pathways resulting in the breakdown of a protein or peptide covalently tagged with ubiquitin, via the multivesicular body (MVB) sorting pathway; ubiquitin-tagged proteins are sorted into MVBs, and delivered to a lysosome/vacuole for degradation. [GOC:jl, PMID:11511343]	IC	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0075733	intracellular transport of virus	The directed movement of a virus, or part of a virus, within the host cell. [GOC:ai, GOC:bf, GOC:jl, PMID:11733033]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0061024	membrane organization	A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins. [GOC:dph, GOC:tb]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0031902	late endosome membrane	The lipid bilayer surrounding a late endosome. [GOC:pz]	IEA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0019082	viral protein processing	Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a viral protein. [GOC:bf, GOC:jl, ISBN:0781702534]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0019068	virion assembly	A late phase of the viral life cycle during which all the components necessary for the formation of a mature virion collect at a particular site in the cell and the basic structure of the virus particle is formed. [ISBN:0121585336]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0019058	viral life cycle	A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome. [ISBN:1555811272]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0016032	viral process	A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle. [GOC:bf, GOC:jl, GOC:mah]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0010008	endosome membrane	The lipid bilayer surrounding an endosome. [GOC:mah]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0000813	ESCRT I complex	An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes. [GOC:rb, PMID:12892785, PMID:12900393]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:2000397	positive regulation of ubiquitin-dependent endocytosis	Any process that activates or increases the frequency, rate or extent of ubiquitin-dependent endocytosis. [GOC:mah]	IMP	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005768	endosome	A membrane-bounded organelle to which materials ingested by endocytosis are delivered. [ISBN:0198506732, PMID:19696797]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0016197	endosomal transport	The directed movement of substances into, out of, or mediated by an endosome, a membrane-bounded organelle that carries materials newly ingested by endocytosis. It passes many of the materials to lysosomes for degradation. [ISBN:0198506732]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes. [GOC:hgd, GOC:jl]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005737	cytoplasm	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0005769	early endosome	A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways. [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0070062	extracellular exosome	A membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm. [GOC:BHF, GOC:mah, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0043130	ubiquitin binding	Interacting selectively and non-covalently with ubiquitin, a protein that when covalently bound to other cellular proteins marks them for proteolytic degradation. [GOC:ecd]	IDA	molecular_function	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0045732	positive regulation of protein catabolic process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds. [GOC:go_curators]	IMP	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0031397	negative regulation of protein ubiquitination	Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of ubiquitin groups to a protein. [GOC:mah]	IDA	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0032403	protein complex binding	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:mah]	IBA	molecular_function	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0043328	protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	The process of directing proteins towards the vacuole using signals contained within the protein, occurring that contributes to protein catabolism via the multivesicular body (MVB) pathway. [GOC:jl, PMID:11511343]	IBA	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	The chemical reactions and pathways resulting in the breakdown of a protein or peptide covalently tagged with ubiquitin, via the multivesicular body (MVB) sorting pathway; ubiquitin-tagged proteins are sorted into MVBs, and delivered to a lysosome/vacuole for degradation. [GOC:jl, PMID:11511343]	IC	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0075733	intracellular transport of virus	The directed movement of a virus, or part of a virus, within the host cell. [GOC:ai, GOC:bf, GOC:jl, PMID:11733033]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0061024	membrane organization	A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins. [GOC:dph, GOC:tb]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0031902	late endosome membrane	The lipid bilayer surrounding a late endosome. [GOC:pz]	IEA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0019082	viral protein processing	Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a viral protein. [GOC:bf, GOC:jl, ISBN:0781702534]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0019068	virion assembly	A late phase of the viral life cycle during which all the components necessary for the formation of a mature virion collect at a particular site in the cell and the basic structure of the virus particle is formed. [ISBN:0121585336]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0019058	viral life cycle	A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome. [ISBN:1555811272]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0016032	viral process	A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle. [GOC:bf, GOC:jl, GOC:mah]	TAS	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0010008	endosome membrane	The lipid bilayer surrounding an endosome. [GOC:mah]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:0000813	ESCRT I complex	An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes. [GOC:rb, PMID:12892785, PMID:12900393]	IDA	cellular_component	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000160948	GO:2000397	positive regulation of ubiquitin-dependent endocytosis	Any process that activates or increases the frequency, rate or extent of ubiquitin-dependent endocytosis. [GOC:mah]	IMP	biological_process	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:18178]	51160
ENSG00000047579	GO:0045211	postsynaptic membrane	A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]	IEA	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0042383	sarcolemma	The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers. [ISBN:0198506732]	ISS	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0014069	postsynaptic density	The postsynaptic density is a region that lies adjacent to the cytoplasmic face of the postsynaptic membrane at excitatory synapse. It forms a disc that consists of a range of proteins with different functions, some of which contact the cytoplasmic domains of ion channels in the postsynaptic membrane. The proteins making up the disc include receptors, and structural proteins linked to the actin cytoskeleton. They also include signalling machinery, such as protein kinases and phosphatases. The postsynaptic density may be part of a neuron or a muscle cell or a glial cell. [GOC:BHF, GOC:ef, GOC:jid, GOC:pr, GOC:sjp, http://molneuro.kaist.ac.kr/psd, PMID:14532281, Wikipedia:Postsynaptic_density]	IDA	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0030054	cell junction	A cellular component that forms a specialized region of connection between two or more cells or between a cell and the extracellular matrix. At a cell junction, anchoring proteins extend through the plasma membrane to link cytoskeletal proteins in one cell to cytoskeletal proteins in neighboring cells or to proteins in the extracellular matrix. [GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732]	IEA	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0043005	neuron projection	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite. [GOC:jl, http://www.cogsci.princeton.edu/~wn/]	IDA	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0005789	endoplasmic reticulum membrane	The lipid bilayer surrounding the endoplasmic reticulum. [GOC:mah]	ISS	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes. [GOC:hgd, GOC:jl]	TAS	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0005737	cytoplasm	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]	ISS	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0005737	cytoplasm	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]	IEA	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]	ISS	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0031083	BLOC-1 complex	A protein complex required for the biogenesis of specialized organelles of the endosomal-lysosomal system, such as melanosomes and platelet dense granules. Many of the protein subunits are conserved between mouse and human; the mouse complex contains the Pallidin, Muted, Cappuccino, Dysbindin, Snapin, BLOS1, BLOS2, AND BLOS3 proteins. [PMID:15102850]	IDA	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0031532	actin cytoskeleton reorganization	A process that is carried out at the cellular level which results in dynamic structural changes to the arrangement of constituent parts of cytoskeletal structures comprising actin filaments and their associated proteins. [GOC:ecd, GOC:mah]	ISS	biological_process	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
ENSG00000047579	GO:0030426	growth cone	The migrating motile tip of a growing nerve cell axon or dendrite. [ISBN:0815316194]	ISS	cellular_component	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	84062
